"WTP","CE_Prob","SE","CE_L","CE_U"
0,0,0,0,0
50,0,0,0,0
100,0.01,0.00703562363973514,0,0.0237898223338809
150,0.025,0.0110397010829098,0.00336218587749678,0.0466378141225032
200,0.05,0.0154110350074224,0.019794371385452,0.080205628614548
250,0.085,0.019719913792915,0.0463489689658866,0.123651031034113
300,0.135,0.0241635055403805,0.0876395291408542,0.182360470859146
350,0.21,0.0288010416478293,0.153549958370254,0.266450041629746
400,0.25,0.0306186217847897,0.189987501301812,0.310012498698188
450,0.3,0.0324037034920393,0.236488741155603,0.363511258844397
500,0.325,0.0331191032487294,0.26008655763249,0.38991344236751
550,0.35,0.0337268439080801,0.283895385940163,0.416104614059837
600,0.38,0.034322004603461,0.312728870977216,0.447271129022784
650,0.425,0.0349553286352739,0.356487555874863,0.493512444125137
700,0.46,0.0352420203734122,0.390925640068112,0.529074359931888
750,0.475,0.0353111172295638,0.405790210230055,0.544209789769945
800,0.5,0.0353553390593274,0.430703535443718,0.569296464556282
850,0.545,0.0352118587978539,0.475984756756206,0.614015243243794
900,0.565,0.0350553134346279,0.496291585668129,0.633708414331871
950,0.615,0.0344074846508721,0.547561330084291,0.682438669915709
1000,0.645,0.0338360015368246,0.578681436987824,0.711318563012176
1050,0.675,0.0331191032487294,0.61008655763249,0.73991344236751
1100,0.685,0.0328462326606873,0.620621383985053,0.749378616014947
1150,0.705,0.0322470928922283,0.641795697931232,0.768204302068767
1200,0.715,0.0319198214280719,0.652437150000979,0.777562849999021
1250,0.745,0.0308200421803735,0.684592717326468,0.805407282673532
1300,0.77,0.029757352032733,0.711675590015843,0.828324409984157
1350,0.78,0.0292916370317536,0.722588391417763,0.837411608582237
1400,0.79,0.0288010416478293,0.733549958370254,0.846450041629746
1450,0.795,0.0285460154837764,0.739049809651798,0.850950190348202
1500,0.795,0.0285460154837764,0.739049809651798,0.850950190348202
1550,0.8,0.0282842712474619,0.744562828354975,0.855437171645025
1600,0.8,0.0282842712474619,0.744562828354975,0.855437171645025
1650,0.805,0.0280156206427771,0.750089383540157,0.859910616459843
1700,0.815,0.0274567842253968,0.761184702918222,0.868815297081778
1750,0.82,0.0271661554144123,0.766754335387752,0.873245664612248
1800,0.84,0.0259229627936314,0.789190992924482,0.890809007075518
1850,0.845,0.0255905255905384,0.794842569842545,0.895157430157455
1900,0.85,0.0252487623459052,0.800512425802026,0.899487574197974
1950,0.85,0.0252487623459052,0.800512425802026,0.899487574197974
2000,0.86,0.0245356882927706,0.81191005094617,0.90808994905383
